"No","Tanggal Post","TIpe","Jenis Konten","Tema/Topik","Link","Account reach","Interaksi","Interaksi Tayangan","Likes","Komentar","Saves","Shares","AKtivitas Profil View Profile","Follow","Clicks link","Click alamat","Engagement Rate ()","Cost","","ADS Performance  Tanggal ","Cost ","Tayangan ","Durasi (hari) ","Hasil Interaksi ","Interaksi ","CAC","","CONVERSION  Jumlah Peserta","Peserta (iklan)","","","","","No","Tanggal","Jenis Konten","Account Reach","Views","Likes","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23","27","IG GIM (50), Web, WA ","Teman / Keluarga","152","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24","65","IG GIM (60), Teman, WA ","Web","50","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25","58","IG GIM (27),  WA (24), FB(12)","WA","224","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","26","21","IG GIM (47), WA (19) ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","27","12","IG GIM (41), WA (25), Teman (25)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","28","76","IG GIM (36), WA (29), Teman (18)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","29","80","IG GIM (30), WA (30), Teman (25)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","30","136","Teman (40), wa (20)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","68","WA (30), IG GIM (26), Teman (22)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","2","41","Teman (43), wa (25)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","14","30","IG GIM (46), WA(16), Web (13)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15","62","IG GIM (64), WA (11) ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","16","55","IG GIM (34), WA (32), Teman (18) ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","17","36","WA (27), IG GIM (25), Teman (25)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","18","10","IG GIM (40), Teman (40) ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","19","51","WA(58), Teman (25)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","20","10","WA (40), IG GIM (30), Teman (20)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","21","39","IG GIM (48), WA (23) ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","22","15","IG GIM (50), Teman (20) ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","23","15","IG GIM (70)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","24","15","IG GIM (70)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","25","26","IG GIM (46), Teman (26), WA (26) ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
